Title,Description,Deadline,Category,Priority,Status,Completion Time,Duration Planned,Duration,Points
b,Description1,,Home,3,Completed,False,3,4,19
b,Description2,,Health,3,To Do,True,5,1,14
b,Description3,,Work,3,In Progress,True,2,5,10
b,Description4,,Study,1,In Progress,True,2,2,7
c,Description5,,Work,1,Completed,True,5,3,1
c,Description6,,Home,1,To Do,False,4,3,14
b,Description7,,Home,1,In Progress,True,2,4,2
b,Description8,,Work,3,Completed,True,4,5,15
c,Description9,,Personal,2,Completed,False,3,5,10
C,Description10,,Study,3,In Progress,False,4,3,12
B,Description11,,Study,0,Completed,True,2,4,3
A,Description12,,Work,3,Completed,True,2,1,1
c,Description13,,Study,3,Completed,True,1,4,8
C,Description14,,Work,1,To Do,False,4,3,3
a,Description15,,Work,0,To Do,False,2,1,1
a,Description16,,Study,3,To Do,False,1,2,9
c,Description17,,Home,0,Completed,False,4,3,12
b,Description18,,Work,2,Completed,False,5,4,12
c,Description19,,Study,3,Completed,True,2,3,11
B,Description20,,Work,3,To Do,False,1,5,11
c,Description21,,Home,3,To Do,False,3,1,10
C,Description22,,Home,3,Completed,False,1,2,16
C,Description23,,Personal,0,To Do,True,4,5,12
b,Description24,,Home,3,Completed,False,4,2,9
C,Description25,,Personal,3,Completed,True,4,4,9
c,Description26,,Study,3,To Do,True,2,2,18
c,Description27,,Personal,3,Completed,True,2,3,10
c,Description28,,Home,1,To Do,True,3,5,3
C,Description29,,Study,0,In Progress,False,2,3,17
c,Description30,,Work,3,In Progress,True,3,5,16
b,Description31,,Health,1,In Progress,True,2,2,13
b,Description32,,Personal,3,Completed,True,4,3,13
c,Description33,,Home,2,To Do,False,5,4,16
b,Description34,,Personal,0,Completed,True,1,3,10
C,Description35,,Study,2,To Do,True,2,5,14
a,Description36,,Work,0,To Do,True,1,1,9
c,Description37,,Health,3,In Progress,False,5,1,18
B,Description38,,Health,3,In Progress,False,2,4,7
b,Description39,,Home,3,Completed,True,2,5,5
a,Description40,,Study,3,Completed,True,2,1,3
B,Description41,,Study,3,In Progress,False,3,5,9
A,Description42,,Personal,2,Completed,False,3,1,8
B,Description43,,Work,0,To Do,True,2,4,14
C,Description44,,Health,3,Completed,True,4,4,7
C,Description45,,Personal,2,In Progress,False,1,4,2
B,Description46,,Home,2,In Progress,False,4,5,2
C,Description47,,Work,2,Completed,False,3,4,1
a,Description48,,Health,1,In Progress,True,2,1,17
C,Description49,,Study,0,In Progress,False,4,2,19
B,Description50,,Work,3,To Do,False,3,4,9
